parent_id,district,districtId,category,municipality,message_id,text,createdOn,updatedOn
233753,Trøndelag Politidistrikt,209,Trafikk,Trondheim,233753-0,"Politiet kontrollerte kl. 0030 en mannlig bilfører i 20-årene, i Saupstadringen, som kjørte personbil uten gyldig førerkort. Mannen anmeldes og bilen ble avskiltet.",2023-10-04T22:59:31.7816269+00:00,
23rx7c,Nordland Politidistrikt,210,Trafikk,Rana,23rx7c-0,UP har gjennomført laserkontroll på stedet. 7 ff. Høyeste hastighet 77 km/t i 60 km/t sone.,2023-10-04T22:15:28.6222227+00:00,
23dt8s,Sør-Øst Politidistrikt,204,Ro og orden,Skien,23dt8s-0,"23:45 Melding om en mann som utagerte verbalt utenfor et serveringsted. Politiet på stedet fikk kontroll på en mann i 40-åra. Han roet seg, og ble bortvist fra området resten av natta. Ingen anmeldelse.",2023-10-04T22:09:20.4933559+00:00,
230p85,Møre og Romsdal Politidistrikt,208,Trafikk,Kristiansund,230p85-0,Det har vært oversvømmelse på riksvei 70 Kongens plass. Dersom du har mistet registreringsskiltet ditt på bilen din i kveld i dette området så kan du kontakte politiet på 02800 og sjekke om politiet har fått det inn. ,2023-10-04T22:08:30.156859+00:00,
23nl8l,Sør-Øst Politidistrikt,204,Trafikk,Lier,23nl8l-0,"22:45 UP-patrulje målte mannlig bilist i 30-åra til 116 km/t i 100-sonen. Planen var å tilby et forenklet forelegg for fartsovertredelsen, men da han ikke hadde gyldig førerkort, ble det anmeldelse. Sak opprettes.",2023-10-04T22:02:52.2753159+00:00,
239h9n,Nordland Politidistrikt,210,Trafikk,Evenes,239h9n-0,UP har gjennomført laserkontroll på stedet. 4 reaksjoner. 2 førerkortbeslag og 2 forenklede forelegg. Høyeste hastighet 89 km/t i 60 km/t sone.,2023-10-04T21:42:45.7853506+00:00,
23zd9c,Nordland Politidistrikt,210,Trafikk,Fauske,23zd9c-0,Utrykningspolitiet har gjennomført laserkontroll på stedet. En reaksjon i form av et forenklet forelegg for kjøring i 89 km/t i 80 km/t sone.,2023-10-04T21:05:06.6834683+00:00,
23l89s,Sør-Øst Politidistrikt,204,Trafikk,Holmestrand,23l89s-0,23:00 UP har hatt fartskontroll i 110-sonen ved Bergsenga. Resultat: to forenklede forelegg og en anmeldelse for ruskjøring. Høyeste målte hastighet: 148 km/t. ,2023-10-04T21:04:07.0124727+00:00,
2365b5,Innlandet Politidistrikt,203,Trafikk,Elverum,2365b5-0,Utrykningspolitiet har gjennomført laserkontroll i skiltet 60-sone. 2 forenklede forelegg og 2 anmeldelser samt førerkortbeslag for høy fart. Høyeste hastighet 92 km/t.,2023-10-04T20:41:56.7102618+00:00,
23w2bl,Sør-Øst Politidistrikt,204,Trafikk,Drammen,23w2bl-0,21:26 UP stanset en 14 åring med en sparkesykkel som gikk langt over lovlig fart. Sparkesykkelen ble beslaglagt og sak opprettes. Foresatte til ungdommen ble varslet. ,2023-10-04T20:09:46.8012912+00:00,
