parent_id,district,districtId,category,municipality,message_id,text,createdOn,updatedOn
2394k2,Øst Politidistrikt,202,Trafikk,Lillestrøm,2394k2-0,Melding om en trafikkulykke rett ved rundkjøringen Strømsveien/ Rælingsveien. En person har sklidd inn i en rutebuss. Ingen personskader. Fører av personbilen ble ilagt forenkla forelegg for brudd på vikeplikten. Veien er ryddet.,2023-10-31T15:36:32.2443409+00:00,
23z1kh,Trøndelag Politidistrikt,209,Andre hendelser,Melhus,23z1kh-0,"Meldt om person som går på toglinja.  Togleder er varslet, og får tog til å senke farten.  Patrulje er på vei til stedet.",2023-10-31T15:11:55.5983233+00:00,
23llw2,Troms Politidistrikt,211,Trafikk,Harstad,23llw2-0,Nødetatene rykker ut til et trafikkuhell på Stangnes. Opplysninger fra vitner tyder på at det ikke er personskade.,2023-10-31T15:07:33.5257261+00:00,
23llw2,Troms Politidistrikt,211,Trafikk,Harstad,23llw2-1,"Politiet fremme på stedet, en bil hadde kjørt inn i en parkert bil, deretter hadde fører forlatt. Politiet har kontroll på fører, denne er ikke alvorlig skadet, vedkommende fremstår som beruset.",2023-10-31T15:17:58.8119531+00:00,
236wl8,Trøndelag Politidistrikt,209,Trafikk,Trondheim,236wl8-0,"Meldt om trafikkulykken mellom bil og syklist i Jakobsliveien ved Charlottenlund kirke.  Skal ha skjedd i lav fart, og det er ikke meldt om alvorlig personskade. Politi og ambulanse er på vei til stedet.",2023-10-31T15:03:07.5192754+00:00,
236wl8,Trøndelag Politidistrikt,209,Trafikk,Trondheim,236wl8-1,"Ingen personskade.  Partene er avhørt, og vi oppretter sak.",2023-10-31T15:38:43.0874584+00:00,
23wrlp,Vest Politidistrikt,207,Brann,Bergen,23wrlp-0,"Strandgaten #Holberg Hotel kl 1543: Nødetatene er på stedet etter melding om automatisk brannalarm. Det har brent på ett rom, brannen skal etter sigende være slukket men beboer vil ikke komme ut av rommet. Vi er i dialog med personen.",2023-10-31T14:59:31.7818725+00:00,
23wrlp,Vest Politidistrikt,207,Brann,Bergen,23wrlp-1,Vi har kontroll på personen.,2023-10-31T15:18:19.8914837+00:00,
23hnl2,Møre og Romsdal Politidistrikt,208,Dyr,Sunndal,23hnl2-0,"Hittet hund, mellomstor med lys brun krøllet pels. Funnet i nærheten av kulturhuset i Sunndalsøra. ",2023-10-31T14:49:47.4822309+00:00,
233krx,Trøndelag Politidistrikt,209,Trafikk,Frøya,233krx-0,"To biler med totalt fem personer involvert i en trafikkulykke langs Fv714 Nordfrøyveien ved Nordrabben.  Samtlige skal være ute av bilene.  Én bil ligger på taket.  Brannvesenet og ambulanse er på stedet, politipatrulje er på vei fram.",2023-10-31T14:48:27.6927765+00:00,
233krx,Trøndelag Politidistrikt,209,Trafikk,Frøya,233krx-1,Trafikkulykken har skjedd ifbm forbikjøring.  Tre barn er tatt med til legevakt for sjekk.  Bil som lå på taket er berget.  Mesta tar seg av en nedkjørt lyktestolpe.  Vi oppretter sak.,2023-10-31T16:19:15.9449867+00:00,
23sfmw,Agder Politidistrikt,205,Trafikk,Tvedestrand,23sfmw-0,"Kl 1525. UP har snittmålt en bil til 130 km/t i 110-sone, dette medførte prikker på førerkortet. Bilfører hadde så mange prikker fra før at førerkortet ble tatt beslag og forholdet anmeldes. ",2023-10-31T14:30:00.3901368+00:00,
23fbm8,Nordland Politidistrikt,210,Brann,Vefsn,23fbm8-0,Melding om at det brenner i en lastebil. Nødetatene på vei til stedet. Pr nå er trafikken på stedet stanset. Oppdateres.,2023-10-31T14:10:39.1099135+00:00,
23fbm8,Nordland Politidistrikt,210,Brann,Vefsn,23fbm8-1,Hendelsen har skjedd i rundkjøringen nord for Mosjøen. Skal ikke være noe farlig gods involvert.,2023-10-31T14:13:29.4992669+00:00,
23fbm8,Nordland Politidistrikt,210,Brann,Vefsn,23fbm8-2,Brann er slukket. Fører er sjekket av helse. Bilberging er bestilt og på plass om ca 20 minutt. Entrepenør er på vei for trafikkdirigering. Sørgående trafikk kan kjøre om marka.,2023-10-31T14:32:48.9661557+00:00,
23fbm8,Nordland Politidistrikt,210,Brann,Vefsn,23fbm8-3,"Bilberging ferdig på stedet, og veien åpen igjen.",2023-10-31T15:33:41.8486826+00:00,
2317np,Innlandet Politidistrikt,203,Trafikk,Elverum,2317np-0,kl 1359 Utrykningspolitiet stanset bil hvor fører i 50 årene blåste til over lovlig verdi. Anmeldes for dette. Fremstilt for bevissikring. Førerkort ble beslaglagt.,2023-10-31T13:57:01.5913186+00:00,
23q4n2,Vest Politidistrikt,207,Trafikk,Voss,23q4n2-0,"Kl. 1446: Meldt om påkøyrsel i Voss sentrum. Nødetater har komme fram. 
Trafikale problem på staden. ",2023-10-31T13:55:47.7107183+00:00,
23q4n2,Vest Politidistrikt,207,Trafikk,Voss,23q4n2-1,Ein fotgjenger og ein minibuss er involvert. Fotgjengaren er skadd og køyrd med ambulanse til Voss sjukehus. Manuell dirigering på staden.,2023-10-31T14:13:39.7712836+00:00,
23q4n2,Vest Politidistrikt,207,Trafikk,Voss,23q4n2-2,Vegen er open for trafikk igjen. Me er framleis på staden og gjennomfører vitneavhøyr.,2023-10-31T14:37:12.5766926+00:00,
23q4n2,Vest Politidistrikt,207,Trafikk,Voss,23q4n2-3,"Me er ferdig på staden. Me har ikkje fått avhøyrt fornærma, det må ev venta til i morgon.",2023-10-31T15:10:16.0565881+00:00,
23b0ng,Sør-Øst Politidistrikt,204,Trafikk,Horten,23b0ng-0,14:40 Melding om en lastebil som mistet last. Knuste ruta til bilen bak. Lastebilen fortsatte mot Horten. Patruljen er på vei til stedet for vurdering av skadene.,2023-10-31T13:46:25.5825117+00:00,
23zpw0,Vest Politidistrikt,207,Trafikk,Bergen,23zpw0-0,Kl. 1408: Trafikkuhell i Tertnesveien. To bilar skal være involvert. Trafikale problem på staden. Brannvesen og politi på veg. ,2023-10-31T13:33:34.1451354+00:00,
23zpw0,Vest Politidistrikt,207,Trafikk,Bergen,23zpw0-1,Ingen verkar skadde. To bilar og tre personar er involverte. Bilane er flytta ut av vegbanen. Trafikken går som normalt.,2023-10-31T13:51:07.40556+00:00,
23mvp8,Nordland Politidistrikt,210,Innbrudd,Rana,23mvp8-0,En beboer tok en innbruddstyv på fersken inne i garasjen sin. Politiet har tatt hånd om tyven. Etterforsking igangsatt.,2023-10-31T13:29:45.7323225+00:00,
